Спортивный объект;Административный округ;Район;Адрес;Ведомсвенная организация;Доступность;Долгота;Широта
Дворовая территория;;;Рождественская улица, дом 14;Управа района Некрасовка города Москвы;Шаговая доступность;37.918409;55.703048
Дворовая территория;;;Большая Очаковская улица, дом 44, строение 2;Префектура Западного административного округа города Москвы;Шаговая доступность;37.443949;55.675868
Дворовая территория;;;улица Рогожский Посёлок, дом 1;Управа Нижегородского района города Москвы;Шаговая доступность;37.700523;55.738495
Дворовая территория;;;Очаковское шоссе, дом 13, корпус 2;Префектура Западного административного округа города Москвы;Шаговая доступность;37.454866;55.692876
Дворовая территория;;;Головинское шоссе, дом 10Б, строение 1;Префектура Северного административного округа города Москвы;Шаговая доступность;37.497541;55.837248
Дворовая территория;;;Выборгская улица, дом 9, строение 2;Префектура Северного административного округа города Москвы;Шаговая доступность;37.49668575535327;55.83558046143761
Дворовая территория;;;Головинское шоссе, дом 8, корпус 3;Префектура Северного административного округа города Москвы;Шаговая доступность;37.491518;55.837607
Дворовая территория;;;3-я Карачаровская улица, дом 2, корпус 1;Управа Нижегородского района города Москвы;Шаговая доступность;37.74339;55.733645
Дворовая территория;;;3-я Карачаровская улица, дом 12, корпус 1;Управа Нижегородского района города Москвы;Шаговая доступность;37.749724;55.734131
Спортивный комплекс дошкольного образовательного учреждения;;;улица Лефортовский Вал, дом 24, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.696453;55.756938
Дворовая территория;;;Светлый проезд, дом 6, корпус 1;Префектура Северного административного округа города Москвы;Шаговая доступность;37.48929986615438;55.81310493537749
Дворовая территория;;;6-й Ростовский переулок, дом 4А;Префектура Центрального административного округа города Москвы;Шаговая доступность;37.576768;55.742493
Дворовая территория;;;Рязанский проспект, дом 33;Управа Нижегородского района города Москвы;Шаговая доступность;37.750775;55.7296
Дворовая территория;;;2-й Карачаровский проезд, дом 4;Управа Нижегородского района города Москвы;Шаговая доступность;37.75373;55.729828
Спортивный комплекс образовательного учреждения;;;улица Плющиха, дом 39;Департамент образования и науки города Москвы;Шаговая доступность;37.577274;55.740299
Дворовая территория;;;2-й Карачаровский проезд, дом 2;Управа Нижегородского района города Москвы;Шаговая доступность;37.753587658721884;55.730567122320174
Дворовая территория;;;Орехово-Зуевский проезд, дом 22;Управа Нижегородского района города Москвы;Шаговая доступность;37.757009;55.73182
Дворовая территория;;;Чистопольская улица, дом 4;Управа Нижегородского района города Москвы;Шаговая доступность;37.757584;55.730847
Дворовая территория;;;Орехово-Зуевский проезд, дом 26;Управа Нижегородского района города Москвы;Шаговая доступность;37.75947;55.732033
Дворовая территория;;;Нижегородская улица, дом 106, корпус 2;Управа Нижегородского района города Москвы;Шаговая доступность;37.721894;55.727952
Дворовая территория;;;Рязанский проспект, дом 2, строение 1;Управа Нижегородского района города Москвы;Шаговая доступность;37.738448627718434;55.72861346043645
Спортивный комплекс образовательного учреждения;;;улица Бутлерова, дом 5Б, строение 1;Департамент образования и науки города Москвы;Шаговая доступность;37.52718318796451;55.65327697794732
Спортивный комплекс дошкольного образовательного учреждения;;;улица Крупской, дом 3;Департамент образования и науки города Москвы;Шаговая доступность;37.52944882375039;55.68155387668618
Дворовая территория;;;;Управа Нижегородского района города Москвы;Шаговая доступность;37.73918427472987;55.72819881520431
Дворовая территория;;;Рязанский проспект, дом 2, строение 4;Управа Нижегородского района города Москвы;Шаговая доступность;37.74047356293488;55.727261503869016
Дворовая территория;;;Комсомольский проспект, дом 36;Префектура Центрального административного округа города Москвы;Шаговая доступность;37.575818;55.723552
Дворовая территория;;;улица Хамовнический Вал, дом 32;Префектура Центрального административного округа города Москвы;Шаговая доступность;37.565047034392904;55.721143664945046
Дворовая территория;;;1-я Курьяновская улица, дом 34, строение 8;Управа района Печатники города Москвы;Шаговая доступность;37.698484;55.652273
Дворовая территория;;;улица Льва Толстого, дом 14А, строение 1;Префектура Центрального административного округа города Москвы;Шаговая доступность;37.588818;55.733515
Дворовая территория;;;Шоссейная улица, дом 50;Управа района Печатники города Москвы;Шаговая доступность;37.721858;55.679377
Дворовая территория;;;2-я Фрунзенская улица, дом 10, корпус 2;Префектура Центрального административного округа города Москвы;Шаговая доступность;37.581939;55.724836
Дворовая территория;;;3-я Фрунзенская улица, дом 6;Управа района Хамовники города Москвы;Шаговая доступность;37.581155;55.720248
Дворовая территория;;;Фрунзенская набережная, дом 40;Префектура Центрального административного округа города Москвы;Шаговая доступность;37.582928;55.720837
Спортивный комплекс образовательного учреждения;Южный административный округ;район Царицыно;Кавказский бульвар, дом 12, корпус 3;Департамент образования и науки города Москвы;Шаговая доступность;37.66644508574087;55.633887783807
ГБОУ Школа № 904;;;улица Бехтерева, дом 51, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.64826342086792;55.61527052276087
Спортивный комплекс дошкольного образовательного учреждения;Южный административный округ;район Царицыно;Ереванская улица, дом 18, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.67063420675418;55.62627144036848
