Спортивный объект;Административный округ;Район;Адрес;Ведомсвенная организация;Доступность;Долгота;Широта
Дворовая территория;Западный административный округ;район Очаково-Матвеевское;Никулинская улица, дом 19;Управа района Очаково-Матвеевское города Москвы;Шаговая доступность;37.448233204520704;55.67414633901301
Дворовая территория;Западный административный округ;район Очаково-Матвеевское;улица Пржевальского, дом 10А;Управа района Очаково-Матвеевское города Москвы;Шаговая доступность;37.45531;55.679793
Дворовая территория;Восточный административный округ;район Гольяново;Хабаровская улица, дом 12/23;Управа района Гольяново города Москвы;Шаговая доступность;37.8271666803158;55.821117067174576
Дворовая территория;Западный административный округ;район Солнцево;улица Авиаторов, дом 9, корпус 2;Управа района Солнцево города Москвы;Шаговая доступность;37.406596706086795;55.64035036463256
Дворовая территория;Восточный административный округ;район Новогиреево;Зелёный проспект, дом 26;Управа района Новогиреево города Москвы;Шаговая доступность;37.79671632476127;55.75108362960234
Дворовая территория;Восточный административный округ;район Новогиреево;Зелёный проспект, дом 48, корпус 2;Управа района Новогиреево города Москвы;Шаговая доступность;37.809830200929895;55.7514727468205
Дворовая территория;Восточный административный округ;район Новогиреево;Фрязевская улица, дом 15, корпус 6;Управа района Новогиреево города Москвы;Шаговая доступность;37.82785593038267;55.74808928844131
Дворовая территория;Восточный административный округ;район Новогиреево;Фрязевская улица, дом 11, корпус 1;Управа района Новогиреево города Москвы;Шаговая доступность;37.82353321681828;55.746230569142156
Дворовая территория;Восточный административный округ;район Новогиреево;Федеративный проспект, дом 24;Управа района Новогиреево города Москвы;Шаговая доступность;37.809959716575094;55.75503565555477
Дворовая территория;Восточный административный округ;район Новогиреево;Федеративный проспект, дом 20;Управа района Новогиреево города Москвы;Шаговая доступность;37.807719976846066;55.75570766966557
Дворовая территория;Западный административный округ;район Солнцево;улица 50 лет Октября, дом 5;Управа района Солнцево города Москвы;Шаговая доступность;37.41301508606604;55.64983431688576
Дворовая территория;Восточный административный округ;район Новогиреево;Союзный проспект, дом 10;Управа района Новогиреево города Москвы;Шаговая доступность;37.808266571072465;55.748492557966905
Дворовая территория;Восточный административный округ;район Новогиреево;Свободный проспект, дом 6, корпус 3;Управа района Новогиреево города Москвы;Шаговая доступность;37.8177808898572;55.75707092193749
Дворовая территория;Восточный административный округ;район Новогиреево;Свободный проспект, дом 32;Управа района Новогиреево города Москвы;Шаговая доступность;37.81353741757348;55.746366134880425
Дворовая территория;Восточный административный округ;район Новогиреево;Свободный проспект, дом 20, строение 2;Управа района Новогиреево города Москвы;Шаговая доступность;37.81558318661841;55.751039537928406
Дворовая территория;Восточный административный округ;район Новогиреево;Сапёрный проезд, дом 8, корпус 3;Управа района Новогиреево города Москвы;Шаговая доступность;37.82412172216694;55.75530005529213
Дворовая территория;Восточный административный округ;район Новогиреево;Сапёрный проезд, дом 11;Управа района Новогиреево города Москвы;Шаговая доступность;37.825569219867226;55.75710992153009
Дворовая территория;Восточный административный округ;район Новогиреево;Полимерная улица, дом 5;Управа района Новогиреево города Москвы;Шаговая доступность;37.79624609875119;55.746980168554266
Дворовая территория;Восточный административный округ;район Новогиреево;Перовская улица, дом 57;Управа района Новогиреево города Москвы;Шаговая доступность;37.793132459213076;55.7457714132547
Дворовая территория;Восточный административный округ;район Новогиреево;Новогиреевская улица, дом 47/26;Управа района Новогиреево города Москвы;Шаговая доступность;37.80105561122723;55.7504584084623
Дворовая территория;Восточный административный округ;район Новогиреево;Новогиреевская улица, дом 46;Управа района Новогиреево города Москвы;Шаговая доступность;37.799254681721536;55.75040523664308
Дворовая территория;Восточный административный округ;район Новогиреево;Мартеновская улица, дом 39, корпус 2;Управа района Новогиреево города Москвы;Шаговая доступность;37.80799299286018;55.74609687855136
Дворовая территория;Восточный административный округ;район Новогиреево;Кусковская улица, дом 31, корпус 2;Управа района Новогиреево города Москвы;Шаговая доступность;37.78503099204238;55.74334136706651
Дворовая территория;Восточный административный округ;район Новогиреево;Кусковская улица, дом 31, корпус 1;Управа района Новогиреево города Москвы;Шаговая доступность;37.785510761569334;55.743079903423684
Дворовая территория;Восточный административный округ;район Новогиреево;Кусковская улица, дом 23, корпус 2;Управа района Новогиреево города Москвы;Шаговая доступность;37.78169911486508;55.740466507256095
Дворовая территория;Восточный административный округ;район Новогиреево;Кусковская улица, дом 19, корпус 2;Управа района Новогиреево города Москвы;Шаговая доступность;37.780437666432746;55.74174285262455
Дворовая территория;Восточный административный округ;район Новогиреево;Зелёный проспект, дом 66, корпус 1;Префектура Восточного административного округа города Москвы;Шаговая доступность;37.82388683859533;55.749595390979735
Дворовая территория;Восточный административный округ;район Новогиреево;Зелёный проспект, дом 85;Префектура Восточного административного округа города Москвы;Шаговая доступность;37.82332406328606;55.751363841148695
Дворовая территория;Восточный административный округ;район Новогиреево;Зелёный проспект, дом 73;Префектура Восточного административного округа города Москвы;Шаговая доступность;37.81252231893415;55.753200089872315
Спортивный комплекс среднего профессионального образовательного учреждения;Юго-Восточный административный округ;Южнопортовый район;улица Трофимова, дом 27, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.679844;55.70386
Дворовая территория;Западный административный округ;район Солнцево;Солнцевский проспект, дом 19, корпус 2;Управа района Солнцево города Москвы;Шаговая доступность;37.41109044951313;55.64642668449935
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;Никулинская улица, дом 23, корпус 1;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.451460326591395;55.668682643133465
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;Никулинская улица, дом 15, корпус 2;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.45478144583505;55.667963800721054
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица 26-ти Бакинских Комиссаров, дом 3, корпус 3;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.489188879970534;55.65559258018408
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;Никулинская улица, дом 12, корпус 2;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.466773218637634;55.67013898014974
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;проспект Вернадского, дом 123;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.482028664556964;55.656243614016425
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;проспект Вернадского, дом 127;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.481281260383014;55.653485746156
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;проспект Вернадского, дом 99, корпус 1;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.49048920653301;55.666746903528974
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица 26-ти Бакинских Комиссаров, дом 10, корпус 2;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.491752627795734;55.66206664337168
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Академика Анохина, дом 12, корпус 4;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.467078;55.667249
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Академика Анохина, дом 13;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.47327802334791;55.65690630352088
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Академика Анохина, дом 26, корпус 1;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.47224960978696;55.661983386533194
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Академика Анохина, дом 30, корпус 1;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.469287;55.660602
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Академика Анохина, дом 6, корпус 1;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.471488;55.668346
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Академика Анохина, дом 9;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.47394650199126;55.659446839501676
Дворовая территория;Западный административный округ;район Фили-Давыдково;улица Артамонова, дом 18, корпус 2;Управа района Фили-Давыдково города Москвы;Шаговая доступность;37.45358348595632;55.71928049962782
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;Никулинская улица, дом 11;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.453044147768836;55.66505203780338
Дворовая территория;Восточный административный округ;район Северное Измайлово;13-я Парковая улица, дом 26, корпус 3;Префектура Восточного административного округа города Москвы;Шаговая доступность;37.81445534931734;55.8042781261764
Дворовая территория;Восточный административный округ;район Гольяново;Сахалинская улица, дом 10/17;Управа района Гольяново города Москвы;Шаговая доступность;37.81824690611585;55.829179223943186
Дворовая территория;Западный административный округ;район Фили-Давыдково;улица Ватутина, дом 9;Управа района Фили-Давыдково города Москвы;Шаговая доступность;37.455570380795116;55.72122298466082
Дворовая территория;Западный административный округ;район Фили-Давыдково;улица Ватутина, дом 11;Управа района Фили-Давыдково города Москвы;Шаговая доступность;37.45387161383708;55.720784171993145
Спортивный комплекс дошкольного образовательного учреждения;Юго-Западный административный округ;район Тёплый Стан;улица Академика Варги, дом 36А;Минобрнауки России;Шаговая доступность;37.47888293712926;55.63337537232889
Дворовая территория;Восточный административный округ;район Соколиная Гора;3-я улица Соколиной Горы, дом 12А;Управа района Соколиная Гора города Москвы;Шаговая доступность;37.741522;55.76131
Дворовая территория;Юго-Восточный административный округ;район Кузьминки;Волжский бульвар, квартал 113А, корпус 4;Управа района Кузьминки города Москвы;Шаговая доступность;37.753339105146495;55.69900559011053
Дворовая территория;Восточный административный округ;район Новокосино;Новокосинская улица, дом 38, корпус 1;Управа района Новокосино города Москвы;Шаговая доступность;37.87133284476653;55.741873051928664
Дворовая территория;Зеленоградский административный округ;район Матушкино;город Зеленоград, корпус 158А;Управа района Матушкино города Москвы;Шаговая доступность;37.20454521743853;56.010919637793954
Спортивный комплекс дошкольного образовательного учреждения;Юго-Западный административный округ;район Северное Бутово;Старобитцевская улица, дом 17Б;Департамент образования и науки города Москвы;Шаговая доступность;37.580977387138105;55.57571403214915
Спортивный комплекс дошкольного образовательного учреждения;Восточный административный округ;район Богородское;1-я Гражданская улица, дом 94;Департамент образования и науки города Москвы;Шаговая доступность;37.708275892253084;55.80781707396949
Спортивный комплекс образовательного учреждения;Юго-Западный административный округ;район Котловка;Севастопольский проспект, дом 20А;Департамент образования и науки города Москвы;Шаговая доступность;37.59717313583792;55.68212666959476
Спортивный комплекс образовательного учреждения;Южный административный округ;Даниловский район;улица Лобанова, дом 3;Департамент образования и науки города Москвы;Шаговая доступность;37.660197;55.701628
Дворовая территория;Южный административный округ;Даниловский район;1-й Павелецкий проезд, дом 1/42, корпус 2;Управа Даниловского района города Москвы;Шаговая доступность;37.64485922068162;55.71843497319362
Дворовая территория;Южный административный округ;Даниловский район;1-й Павловский переулок, дом 5;Управа Даниловского района города Москвы;Шаговая доступность;37.630945723338385;55.717178623398
Дворовая территория;Южный административный округ;Даниловский район;3-й Автозаводский проезд, дом 4;Управа Даниловского района города Москвы;Шаговая доступность;37.65496208194681;55.70653303489509
Дворовая территория;Южный административный округ;Даниловский район;3-й Павелецкий проезд, дом 9А;Управа Даниловского района города Москвы;Шаговая доступность;37.64096558646829;55.71044753592437
Дворовая территория;Южный административный округ;Донской район;4-й Верхний Михайловский проезд, дом 10, корпус 5;Управа Донского района города Москвы;Шаговая доступность;37.601623690189435;55.70747822025746
Спортивный комплекс среднего профессионального образовательного учреждения «Лицей ФГБОУ ВПО «Московский Государственный Психолого-Педагогический Университет»»;Восточный административный округ;район Перово;3-я Владимирская улица, дом 7;Минобрнауки России;Шаговая доступность;37.786999630591964;55.761322474591395
Спортивный комплекс среднего профессионального образовательного учреждения «ГБПОУ «Медицинский колледж №6»;Восточный административный округ;район Соколиная Гора;9-я улица Соколиной Горы, дом 3А;Департамент здравоохранения города Москвы;Шаговая доступность;37.729573910337926;55.77185490289697
Дворовая территория;Южный административный округ;Даниловский район;Автозаводская улица, дом 5;Управа Даниловского района города Москвы;Шаговая доступность;37.66258329392901;55.70867826878181
Дворовая территория;Южный административный округ;район Братеево;Алма-Атинская улица, дом 5;Управа района Братеево города Москвы;Шаговая доступность;37.771154831707086;55.64091084405646
Дворовая территория;Южный административный округ;Нагорный район;Артековская улица, дом 2, корпус 1;Управа Нагорного района города Москвы;Шаговая доступность;37.613009;55.650444
Дворовая территория;Южный административный округ;Нагорный район;Артековская улица, дом 3, корпус 2;Управа Нагорного района города Москвы;Шаговая доступность;37.616369;55.650896
Дворовая территория;Южный административный округ;район Царицыно;Бакинская улица, дом 19;Управа района Царицыно города Москвы;Шаговая доступность;37.65914491785162;55.61980608771652
Дворовая территория;Юго-Западный административный округ;район Тёплый Стан;Ленинский проспект, дом 131Б, строение 1;Управа района Теплый Стан города Москвы;Шаговая доступность;37.480543;55.642525
Спортивный комплекс дошкольного образовательного учреждения;Юго-Западный административный округ;Ломоносовский район;Ленинский проспект, дом 82/2, корпус 1;Департамент образования и науки города Москвы;Шаговая доступность;37.53338710242423;55.682453935410734
Спортивный комплекс дошкольного образовательного учреждения;Юго-Западный административный округ;Ломоносовский район;Ленинский проспект, дом 86А;Департамент образования и науки города Москвы;Шаговая доступность;37.526447001019996;55.67765896767506
Спортивный комплекс дошкольного образовательного учреждения;Юго-Западный административный округ;Ломоносовский район;Ленинский проспект, дом 90Б;Департамент образования и науки города Москвы;Шаговая доступность;37.523178947827105;55.675385172377865
Дворовая территория;Юго-Западный административный округ;Академический район;улица Шверника, дом 11, корпус 3;Управа Академического района города Москвы;Шаговая доступность;37.58811726615827;55.69253356643069
Московский финансовый колледж;Восточный административный округ;район Новогиреево;Кусковская улица, дом 45;Минобрнауки России;Шаговая доступность;37.792861520940264;55.74400275790362
Дворовая территория;Южный административный округ;район Бирюлёво Восточное;Бирюлёвская улица, дом 10;Управа района Бирюлево Восточное города Москвы;Шаговая доступность;37.660449;55.599606
Дворовая территория;Южный административный округ;район Бирюлёво Восточное;Бирюлёвская улица, дом 11, корпус 3;Управа района Бирюлево Восточное города Москвы;Шаговая доступность;37.66561981984644;55.59791016231145
Дворовая территория;Южный административный округ;район Бирюлёво Восточное;Бирюлёвская улица, дом 45, корпус 1;Управа района Бирюлево Восточное города Москвы;Шаговая доступность;37.66859856551908;55.585389896344054
Дворовая территория;Южный административный округ;район Бирюлёво Восточное;Бирюлёвская улица, дом 49, корпус 1;Управа района Бирюлево Восточное города Москвы;Шаговая доступность;37.67192854761566;55.58446436522445
Дворовая территория;Южный административный округ;район Бирюлёво Восточное;Бирюлёвская улица, дом 56;Управа района Бирюлево Восточное города Москвы;Шаговая доступность;37.6679240884478;55.58237757486892
Дворовая территория;Южный административный округ;район Бирюлёво Восточное;Бирюлёвская улица, дом 58, корпус 2;Управа района Бирюлево Восточное города Москвы;Шаговая доступность;37.669970031770745;55.58099924923463
Дворовая территория;Южный административный округ;район Бирюлёво Восточное;Бирюлёвская улица, дом 58, корпус 3;Управа района Бирюлево Восточное города Москвы;Шаговая доступность;37.66847310826235;55.581190664558754
Дворовая территория;Южный административный округ;Нагорный район;Болотниковская улица, дом 1, корпус 2;Управа Нагорного района города Москвы;Шаговая доступность;37.617833;55.655437
Дворовая территория;Южный административный округ;Нагорный район;Болотниковская улица, дом 3, корпус 7;Управа Нагорного района города Москвы;Шаговая доступность;37.613737;55.65496
Дворовая территория;Южный административный округ;Нагорный район;Болотниковская улица, дом 3, корпус 8;Управа Нагорного района города Москвы;Шаговая доступность;37.614635;55.655214
Дворовая территория;Южный административный округ;Нагорный район;Болотниковская улица, дом 6, корпус Б;Управа Нагорного района города Москвы;Шаговая доступность;37.612308;55.657022
Дворовая территория;Южный административный округ;Даниловский район;Большая Серпуховская улица, дом 58;Управа Даниловского района города Москвы;Шаговая доступность;37.625283378323644;55.72007079325154
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 11, корпус 2;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.720888;55.627427
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 15, корпус 2;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.72723760616793;55.62648834072116
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 1, корпус 2;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.712596;55.625821
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 22, корпус 1;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.72396;55.624444
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Шипиловская улица, дом 29, корпус 2;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.724086;55.623183
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 36, корпус 1;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.72664095578379;55.617979770483245
Спортивный комплекс среднего профессионального образовательного учреждения;Восточный административный округ;район Перово;Новогиреевская улица, дом 3;Департамент здравоохранения города Москвы;Шаговая доступность;37.793454;55.762363
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 3, корпус 1;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.71415326687798;55.62606793766719
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 44, корпус 3;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.723996;55.614551
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 46, корпус 1;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.72885857591533;55.61506622299029
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 8, корпус 2, строение 2;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.72299189941269;55.62302607968038
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 9, корпус 3;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.71877316787998;55.62740634999696
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 10, корпус 4;Управа района Братеево города Москвы;Шаговая доступность;37.76156304359705;55.63046677237635
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 16, корпус 6;Управа района Братеево города Москвы;Шаговая доступность;37.76882644274963;55.63232835601065
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 18, корпус 5;Управа района Братеево города Москвы;Шаговая доступность;37.770412154028506;55.63304655302354
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 21, корпус 1;Управа района Братеево города Москвы;Шаговая доступность;37.75271217063366;55.63286071487594
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 25, корпус 3;Управа района Братеево города Москвы;Шаговая доступность;37.7531430092929;55.63470314889598
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 27, корпус 1;Управа района Братеево города Москвы;Шаговая доступность;37.758173960429346;55.63429821302993
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 33, корпус 2;Управа района Братеево города Москвы;Шаговая доступность;37.765402544785736;55.6365149810789
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 35, корпус 3;Управа района Братеево города Москвы;Шаговая доступность;37.76962821070968;55.63782077394427
Дворовая территория;Южный административный округ;район Братеево;Братеевская улица, дом 39/12;Управа района Братеево города Москвы;Шаговая доступность;37.77108227110422;55.63788897137586
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Булатниковская улица, дом 11, корпус 1;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.643688076489745;55.580047635386
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Булатниковская улица, дом 3, корпус 2;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.654637413705935;55.57948445456074
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Булатниковская улица, дом 5, корпус 5;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.6522844667109;55.57850860433638
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Булатниковский проезд, дом 10, корпус 4;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.65487317829042;55.58712146945093
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Булатниковский проезд, дом 14, корпус 5;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.65433709232003;55.58320830751886
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Булатниковский проезд, дом 14, корпус 3;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.65694801114071;55.582640971388635
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Булатниковский проезд, дом 6, корпус 1;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.65121486447488;55.593752490415554
Дворовая территория;Южный административный округ;Донской район;Варшавское шоссе, дом 10, корпус 1;Управа Донского района города Москвы;Шаговая доступность;37.619827;55.698173
Дворовая территория;Южный административный округ;район Чертаново Северное;Варшавское шоссе, дом 124;Управа района Чертаново Северное города Москвы;Шаговая доступность;37.615273;55.627575
Дворовая территория;Южный административный округ;район Чертаново Южное;Варшавское шоссе, дом 152, корпус 3;Управа района Чертаново Южное города Москвы;Шаговая доступность;37.592580679448844;55.59099016167693
Дворовая территория;Южный административный округ;район Чертаново Южное;Варшавское шоссе, дом 152, корпус 7;Управа района Чертаново Южное города Москвы;Шаговая доступность;37.59208762839658;55.5910647451609
Дворовая территория;Южный административный округ;район Чертаново Южное;Варшавское шоссе, дом 158, корпус 1;Управа района Чертаново Южное города Москвы;Шаговая доступность;37.59615449933595;55.585609439733496
Дворовая территория;Южный административный округ;район Нагатино-Садовники;Варшавское шоссе, дом 47, корпус 1;Управа района Нагатино-Садовники города Москвы;Шаговая доступность;37.62732186567433;55.67897260554956
Дворовая территория;Южный административный округ;район Нагатино-Садовники;Варшавское шоссе, дом 55, корпус 2;Управа района Нагатино-Садовники города Москвы;Шаговая доступность;37.62805512242514;55.67644391857962
Дворовая территория;Южный административный округ;Нагорный район;Варшавское шоссе, дом 68, корпус 2;Управа Нагорного района города Москвы;Шаговая доступность;37.618722;55.658987
Дворовая территория;Южный административный округ;Нагорный район;Варшавское шоссе, дом 71, корпус 1;Управа Нагорного района города Москвы;Шаговая доступность;37.620276;55.660445
